city	latitude	longitude
Los Banos	37.049999	-120.849998
Los Gatos	37.233334	-121.949997
Los Molinos	40.016666	-122.083336
Los Olivos	34.666668	-120.099998
Lost Hills	35.599998	-119.683334
Lucerne Valley	34.433334	-116.966667
Lynwood	33.916668	-118.199997
Macdoel	41.816666	-122.000000
Madera	36.950001	-120.050003
Magalia	39.833332	-121.583336
Malibu	34.016666	-118.766670
Mammoth	41.716667	-121.349998
Mammoth Lakes	37.633331	-118.966667
Manhattan Beach	33.883331	-118.400002
Manteca	37.799999	-121.216667
Mar Vista	34.000000	-118.416664
March Joint Air Reserve Base	33.866669	-117.250000
Maricopa	35.049999	-119.400002
Marina	36.683334	-121.800003
Marina Del Rey	33.966667	-118.449997
Marine Corps Base Camp Pendleton	33.333332	-117.416664
Mariposa	37.483334	-119.949997
Marshall	38.150002	-122.883331
Martinez	38.016666	-122.133331
Marysville	39.133331	-121.583336
Mather	37.866669	-119.849998
Maxwell	39.266666	-122.183334
Maywood	33.983334	-118.183334
McClellan Air Force Base	38.666668	-121.400002
McFarland	35.666668	-119.216667
McKinleyville	40.933334	-124.099998
Mecca	33.566666	-116.066666
Mendocino	39.299999	-123.783333
Mendota	36.750000	-120.366669
Menifee	33.666668	-117.166664
Menlo Park	37.450001	-122.166664
Mentone	34.049999	-117.116669
Merced	37.299999	-120.483330
Middletown	38.750000	-122.599998
Midway City	33.733334	-117.983330
Mill Valley	37.900002	-122.533333
Millbrae	37.599998	-122.400002
Milpitas	37.433334	-121.883331
Mira Loma	33.983334	-117.500000
Mira Mesa	32.900002	-117.133331
Miranda	40.233334	-123.816666
Mission Hills	34.683334	-120.433334
Mission Viejo	33.599998	-117.650002
Modesto	37.650002	-120.983330
Moffett Federal Airfield	37.400002	-122.033333
Mojave	35.049999	-118.166664
Monrovia	34.133331	-118.000000
Montague	41.716667	-122.516670
Montara	37.533333	-122.500000
Montclair	34.066666	-117.683334
Montebello	34.000000	-118.099998
Montecito	34.433334	-119.616669
Monterey	36.599998	-121.900002
Monterey Park	34.033333	-118.133331
Moorpark	34.266666	-118.866669
Moraga	37.833332	-122.116669
Moreno Valley	33.933334	-117.216667
Morgan Hill	37.116669	-121.650002
Morro Bay	35.366669	-120.849998
Moss Beach	37.516666	-122.500000
Moss Landing	36.799999	-121.783333
Mount Hermon	37.049999	-122.050003
Mount Shasta	41.299999	-122.300003
Mount Wilson Observatory	34.216667	-118.050003
Mountain Pass	35.466667	-115.533333
Mountain View	37.383331	-122.066666
Murphys	38.133331	-120.466667
Murrieta	33.566666	-117.199997
Napa	38.283333	-122.283333
National City	32.666668	-117.083336
Needles	34.833332	-114.599998
Nelson	39.549999	-121.750000
Nevada City	39.250000	-121.016670
New Cuyama	34.933334	-119.683334
Newark	37.533333	-122.033333
Newberry Springs	34.816666	-116.683334
Newbury Park	34.183334	-118.900002
Newcastle	38.866669	-121.133331
Newhall	34.383331	-118.516670
Newman	37.299999	-121.016670
Newport	39.583332	-123.766670
Newport Beach	33.616669	-117.883331
Nice	39.116669	-122.833336
Nipomo	35.016666	-120.483330
Nipton	35.466667	-115.266670
Norco	33.916668	-117.550003
Norden	39.316666	-120.349998
North Highlands	38.666668	-121.366669
North Hills	34.233334	-118.466667
North Hollywood	34.166668	-118.366669
Northridge	34.216667	-118.533333
Norwalk	33.900002	-118.083336
Novato	38.099998	-122.566666
Nuevo	33.799999	-117.116669
Oak View	34.383331	-119.300003
Oakdale	37.766666	-120.849998
Oakhurst	37.316666	-119.633331
